model,ok_rows,runs,choice_A_rate,choice_B_rate,dia_choice_rate,mean_confidence,cmnxdia_dia_rate,diaxcmn_dia_rate
qwen2.5,7560,5,0.0,1.0,0.5,2.9675925925925926,1.0,0.0
qwen3,7560,5,0.9582010582010582,0.041798941798941835,0.4843915343915344,2.717857142857143,0.02619047619047619,0.9425925925925925
qwen3.5,7560,5,0.5677248677248677,0.43227513227513226,0.13994708994708996,3.1826719576719578,0.07222222222222222,0.20767195767195767
