model,run_a,run_b,common_trials,same_chosen_guise,same_rate
qwen2.5,1,2,1512,1512,1.0
qwen2.5,2,3,1512,1512,1.0
qwen2.5,3,4,1512,1512,1.0
qwen2.5,4,5,1512,1512,1.0
qwen3,1,2,1512,1502,0.9933862433862434
qwen3,2,3,1512,1502,0.9933862433862434
qwen3,3,4,1512,1503,0.9940476190476191
qwen3,4,5,1512,1509,0.998015873015873
qwen3.5,1,2,1512,1398,0.9246031746031746
qwen3.5,2,3,1512,1400,0.9259259259259259
qwen3.5,3,4,1512,1390,0.9193121693121693
qwen3.5,4,5,1512,1377,0.9107142857142857
