model,construct,mean,ci_low,ci_high,sd,n
qwen2.5,Ability,-0.2469135802469136,-0.3032390535876896,-0.19058810690613762,0.6663115479201256,540.0
qwen2.5,Trust,0.07407407407407407,0.024277790169586914,0.12387035797856122,0.589073416362199,540.0
qwen2.5,Warmth,0.052469135802469126,0.010048223364842512,0.09489004824009574,0.5018252338420507,540.0
qwen3,Ability,-0.304320987654321,-0.3876953807853548,-0.22094659452328716,0.9862912399854301,540.0
qwen3,Trust,-0.2,-0.26414960456874403,-0.135850395431256,0.75886840861611,540.0
qwen3,Warmth,-0.08086419753086421,-0.13537574930128965,-0.02635264576043876,0.6448534612382159,540.0
qwen3.5,Ability,-0.719753086419753,-0.7843683417460994,-0.6551378310934066,0.7643769016421881,540.0
qwen3.5,Trust,-0.13148148148148148,-0.16478610697294155,-0.09817685599002142,0.3939826023272812,540.0
qwen3.5,Warmth,-0.0382716049382716,-0.07846842750585623,0.0019252176293130252,0.47551499309085005,540.0
