model_spec,nobs,df_modelwc,llf,aic,bic,converged
full,4860,56.0,-4074.011123100292,8262.022246200584,8631.883488063573,True
no_three_way,4860,36.0,-4140.3592740367385,8354.718548073477,8594.803915598575,True
no_model_construct,4860,32.0,-4219.158184515472,8504.316369030945,8718.446561688464,True
no_model_dialect,4860,26.0,-4257.607996091545,8569.21599218309,8744.413422539243,True
no_construct_dialect,4860,26.0,-4197.101525398732,8448.203050797463,8623.400481153616,False
main_effects,4860,12.0,-4372.742801051776,8771.485602103552,8855.839920423181,False
