model,construct,mean,ci_low,ci_high,sd,n
qwen2.5,Ability,-0.2469135802469136,-0.37449005571768745,-0.11933710477613974,0.6687977936770969,108.0
qwen2.5,Trust,0.07407407407407407,-0.03871387097595819,0.18686201912410633,0.591271459134453,108.0
qwen2.5,Warmth,0.05246913580246914,-0.043613687368922606,0.1485519589738609,0.5036977225633936,108.0
qwen3,Ability,-0.3043209876543209,-0.48851155448960537,-0.12013042081903647,0.96558745851066,108.0
qwen3,Trust,-0.2,-0.33671219029312843,-0.06328780970687159,0.7166902118859194,108.0
qwen3,Warmth,-0.08086419753086418,-0.20238263198600062,0.04065423692427225,0.6370395525882698,108.0
qwen3.5,Ability,-0.7197530864197531,-0.8511177271887305,-0.5883884456507757,0.6886566005940746,108.0
qwen3.5,Trust,-0.13148148148148148,-0.1907598600039572,-0.07220310295900575,0.3107567333420321,108.0
qwen3.5,Warmth,-0.03827160493827163,-0.11829030274528865,0.041747092868745395,0.41948430028941536,108.0
