model_spec,nobs,df_modelwc,llf,aic,bic,converged
full,972,56.0,-828.7082046909013,1771.4164093818026,2049.5396902360476,False
no_three_way,972,36.0,-843.159886127844,1760.319772255688,1940.855937020724,True
no_model_construct,972,32.0,-867.6365107869447,1801.2730215738893,1962.2917631210837,True
no_model_dialect,972,26.0,-871.1232593583863,1796.2465187167727,1927.9891254372046,False
no_construct_dialect,972,26.0,-865.0223405339088,1784.0446810678177,1915.7872877882496,False
main_effects,972,12.0,-897.7997565012561,1821.5995130025121,1885.031138460498,False
